ID,title,year_of_commissioning,area_sq_m,apartment_storey,district,location,price_m2,loc_mid,location_group
5782,Bzd amankhuur khotkhond 4 oroo bair,2016,88.9,11,Bayanzurkh,13-r khoroolol,2.98087739,13-r khoroolol,13-r khoroolol
4104,Zaisan griin khaus khajuu tuulыn khowoo khotkhon gal togoo tusdaa 2 oroo bair 52m2,2006,52,4,KHan-Uul,Busad,2.980769231,Tuuliin khovoo,Zaisan Orgil
6003,YAarmag khunnu willa khotkhond 71.06m2 3 oroo,2020,71.06,2,KHan-Uul,YAarmag,2.980579792,YAarmag,Yarmag
379,"KHar khorin, erin khoroolol 2 oroo 60,4m2",2017,60.4,9,Songino KHairkhan,1-r khoroolol,2.98013245,1-r khoroolol,1-r khoroolol
7008,KHurd rapidad gal togoo tusdaa 105m.kw 3 oroo,2012,100,2,KHan-Uul,KHurd,2.98,KHurd,Tsengeldekh
2317,Bokhiin orgoonii urd 2 oroo,2014,72.5,10,Bayanzurkh,13-r khoroolol,2.979310345,13-r khoroolol,13-r khoroolol
1662,Olymp 3 uruu oron suuts,2015,94,2,Bayanzurkh,Olimp khotkhon,2.978723404,Olimp khotkhon,Home plaza
2428,10-r horoolold 2 uruu,2023,47,4,Bayangol,10-r khoroolol,2.978723404,10-r khoroolol,10-r khoroolol
3369,Dolgoon nuurыn khoino 229 bairand 2 oroo,2018,47,9,Sukhbaatar,Dolgoon nuur,2.978723404,Dolgoon nuur,Dolgoon nuur
5766,Ekh nyalkhasыn ard 47mk 2oroo,2017,47,2,Bayangol,Busad,2.978723404,Ekh nyalkhas,Bayanburd
6248,KHud 2-r khoroo 19 uilchilgeenii baruun tald ugsarmal 5 dawkharыn 2 oroo bair.,1980,47,1,KHan-Uul,19-r khoroolol,2.978723404,19-r khoroolol,19-r khoroolol
6627,KHud khappi apparmyent 111 bair 47.5 mkw 2 oroo oron suuts,2010,47,8,KHan-Uul,5-r khoroolol,2.978723404,5-r khoroolol,Tsirk
7497,Misheel ekspo-n khajuud 47.96m2-tai 2 oroo bair,2018,47,12,KHan-Uul,Misheel,2.978723404,Misheel,Misheel
2299,Naturt shine mongol surguuliin urd 2 oroo,2012,43.65,7,Bayanzurkh,13-r khoroolol,2.978235968,13-r khoroolol,13-r khoroolol
112,TSoglog khotkhon 41.3m2 2 oroo,2014,41.3,3,Bayangol,10-r khoroolol,2.978208232,10-r khoroolol,10-r khoroolol
3153,Altantewsh khotkhond 2 oroo,2022,44,5,Bayanzurkh,13-r khoroolol,2.977272727,13-r khoroolol,13-r khoroolol
628,Misheel ekspogiin baruun tald 51m2 2 oroo bair,2020,51.07,4,KHan-Uul,19-r khoroolol,2.97630703,19-r khoroolol,19-r khoroolol
788,YAarmagt 1 oroo bair,2023,42,17,KHan-Uul,YAarmag,2.976190476,YAarmag,Yarmag
880,YAarmagt 1 oroo bair,2023,42,17,KHan-Uul,YAarmag,2.976190476,YAarmag,Yarmag
1207,"25-r emiin san awtobusnы buudlыn ard 42,1mkw 2 oroo",2012,42,12,Bayangol,25-r emiin san,2.976190476,25-r emiin san,Tomor zam
3115,YAarmagt nukhtiin amand sunset house khotkhond 3 oroo,2023,84,2,KHan-Uul,YAarmag,2.976190476,YAarmag,Yarmag
3269,Zaisan goldyen will 5 oroo 2 garaj 168m2,2015,168,5,KHan-Uul,Busad,2.976190476,Golden vill,Zaisan
105,Baruun 4 zamd 3 oroo bair,2015,67.22,16,Bayangol,Baruun 4 zam,2.975304969,Baruun 4 zam,Baruun 4 zam
3253,KHangai khotkhond 2 oroo oron suuts,2016,40,2,Sukhbaatar,Busad,2.975,Khangai,Dolgoon nuur
2414,SHine mongol surguuliin zuun tald 2 oroo bair,2011,48.09,4,Bayanzurkh,Busad,2.973591183,Shine mongol,Natur
2375,Dolgoon nuurt 37m² 1 oroo,2013,37,7,Sukhbaatar,Dolgoon nuur,2.972972973,Dolgoon nuur,Dolgoon nuur
3741,Dolgoon nuurt nuuj orokhod belen bair,2013,37,8,Sukhbaatar,Bayanburd,2.972972973,Bayanburd,Bayanburd
4333,Suldet orgoo 2 oroo,2015,37,4,Bayanzurkh,Busad,2.972972973,Suldet orgoo,Jukov
6733,Suldet orgoo khotkhon 2r oroo,2015,37,4,Bayanzurkh,15-r khoroolol,2.972972973,15-r khoroolol,Jukov
4887,"Bayanburdiin toirgiin zuun tald 45,42m2 2 oroo bair",2023,45.42,7,Sukhbaatar,100 ail,2.972258917,100 ail,100 ail
1779,Gumuda garden khotkhon 71m2 - 3 oroo,2023,72,4,KHan-Uul,YAarmag,2.972222222,YAarmag,Yarmag
2600,"KHud, 115r surguuliin baruun tald 1 oroo",2015,38.7,8,KHan-Uul,Busad,2.971576227,115-r surguuli,Zaisan Orgil
1076,Jukowt shineer ashiglaltad orj baigaa 2 oroo bair,2023,48.8,9,Bayanzurkh,Zuun 4 zam,2.971311475,Zuun 4 zam,Zuun 4 zam
1411,Modnы 2t ganitыn bairand 3 oroo zuuch no,2014,69,2,Bayangol,"3, 4 khoroolol",2.971014493,"3, 4 khoroolol","3, 4-r khoroolol"
